f0,f1,f2,f3,f4,f5,f6,f7,target
-0.00721,-0.56120,-0.86762,3.06604,-0.07735,-2.01666,-0.64860,0.67804,1
-0.50001,1.36045,1.00240,-0.15234,-0.47222,-1.00480,-0.69997,-1.47314,0
1.20440,1.59070,-1.25614,-1.18168,-1.76851,-0.96385,-3.10634,-1.14228,1
1.29692,-0.34567,0.85458,-0.48897,1.76067,0.19922,-0.38200,2.55242,1
-0.32447,-1.22122,0.20191,-0.03884,1.06632,-0.92163,0.80472,0.85275,1
-0.66769,0.16324,-0.83075,2.34581,-0.70414,-0.45307,-1.06584,-0.34612,0
-0.00588,0.76779,-0.61049,-0.18577,-1.41649,-0.82740,2.75581,1.04124,0
-0.78142,-1.33740,-0.97558,-0.02169,0.03473,-0.74436,-1.28657,1.42238,0
0.45169,-0.37457,-0.22066,-0.52953,-2.93605,0.11566,-1.07054,-1.00268,1
-0.64026,0.73230,-1.17053,-1.43428,0.63985,0.75437,-0.95893,0.56240,0
-0.29163,0.30129,-1.26096,0.83289,1.20326,0.63707,0.55834,-3.77228,1
0.26063,-0.02545,-0.14705,-0.63058,0.05536,0.41212,-0.26379,-0.46332,0
1.22975,-1.10537,1.03016,0.17681,-0.80431,-0.28998,-0.91999,0.67506,1
0.34790,-0.55680,-1.10222,0.30172,0.95739,-0.11384,0.41835,-0.37603,1
0.06757,-0.29128,0.29404,-1.50977,0.64419,-0.22993,0.35861,-0.34031,1
0.32036,-1.07256,1.18915,-1.70354,-1.03924,0.23567,1.46284,0.27813,1
-0.24791,-1.42509,-0.19128,-0.01988,1.69057,0.62213,-1.52909,2.02678,0
-0.39501,-0.87946,1.47482,-0.04976,-0.36740,0.21879,0.84489,0.99334,1
-1.37520,1.99848,0.94686,-0.37920,-0.81866,-0.96901,0.12338,-0.64802,0
-0.76487,0.81125,0.36457,-0.39457,0.73425,1.36738,-1.09450,-0.60329,0
0.94262,0.71894,0.22670,1.16242,-1.08821,-1.47914,-0.86651,0.12254,1
-0.79609,-0.48722,-0.97500,-0.62043,-1.00479,0.36747,0.79489,-0.48045,0
-0.20727,-0.58103,0.53125,0.08906,1.59416,-1.09547,0.36250,0.44399,0
-0.36044,0.58353,-1.43852,2.11880,-1.34204,0.91981,-1.12112,1.15088,1
-0.38477,0.15842,0.05334,1.10073,-0.32155,-2.96718,-0.76006,0.18371,0
-0.44047,0.76982,1.01533,-0.14777,-1.48965,1.38417,1.08305,-0.29919,0
2.10829,-0.34888,-1.13712,-0.15587,1.07783,-0.93745,1.95123,-0.89653,1
0.95442,0.54446,-0.15406,1.08053,-1.49980,1.35757,-0.06368,-0.54244,1
0.74917,1.05990,0.76980,1.99950,1.08073,1.28351,-0.53986,0.10652,1
0.56298,-0.01774,0.30164,0.42610,0.84424,-0.10161,-0.34980,-0.82832,1
-0.89173,1.17245,-0.08452,0.78694,-1.29736,-1.93817,-1.04909,1.14663,0
1.06808,0.33204,-0.80217,-0.13080,-0.29776,-0.34497,-2.50607,-0.85793,1
-0.19011,1.51643,0.16074,1.40089,-0.39371,-0.25269,-3.89942,0.46333,0
0.54710,1.76376,-0.48676,0.09415,-0.70553,-1.17626,-0.71311,-0.34500,0
1.35544,0.00221,-0.79054,0.14188,0.21757,-0.67623,1.14323,-1.88835,1
-0.21354,0.66507,-1.33843,0.36125,1.29289,0.45367,-1.69016,-0.72820,1
1.23230,0.29834,-0.00986,0.44120,0.72105,-0.70847,-0.29040,0.14291,1
-0.54396,-0.13345,1.29787,-0.96782,1.92666,1.87934,-1.71344,-0.14102,1
0.34269,-0.76087,-0.74108,-0.23742,0.73918,-0.51133,1.82669,0.28997,1
-0.10258,1.44926,0.62628,0.36929,-0.33114,1.81399,0.81182,-0.20341,0
-1.57720,0.37295,-1.14374,-1.71595,-0.27915,0.28147,1.28248,0.28245,0
0.80602,-1.22588,-0.02253,0.12421,0.86225,0.11606,0.80408,-0.50420,1
0.35795,0.41487,-1.24978,0.17554,-0.32036,-1.90409,0.95841,-0.36186,1
-0.85239,-0.37732,0.13820,1.50791,-0.16593,0.47241,1.37358,0.53355,0
1.06856,-0.47651,0.77105,-0.05798,1.07441,-1.00356,-0.77956,1.26873,1
-0.19608,-0.35896,0.07757,-0.68950,1.33194,-1.24916,-0.15060,0.34695,0
-0.10445,-0.80229,-0.86839,0.42539,-1.03048,0.64624,-1.52415,-0.55498,1
0.03631,-1.25215,0.65201,-0.01854,-1.03607,-1.51889,-1.56559,0.05103,1
-1.15683,-1.36488,-0.23123,2.27750,0.27754,0.76292,0.21272,0.78298,0
-1.34309,-0.43051,0.26135,-0.01792,-0.19199,-0.66588,-0.25838,-0.77420,0
-2.42183,-1.19451,0.47565,1.55708,1.81358,0.09675,0.89338,0.90798,0
-0.69226,-1.69794,0.03089,-1.76220,-0.31993,0.60812,-1.42007,0.03230,1
1.24002,0.36151,0.52232,0.90674,1.73296,0.15142,1.22950,-0.06417,1
-0.54617,0.31482,-0.60581,-0.57313,-0.60774,-2.29542,0.10550,-1.26384,0
-0.10727,1.44997,-0.52100,-0.54201,1.36391,0.54631,0.97653,-0.35529,0
0.74808,-0.68617,-0.67600,0.59624,-0.59837,0.76712,2.39168,-1.68615,1
-0.75220,1.12015,-0.14508,1.16109,-1.01006,0.33134,-0.15056,0.14037,0
0.33112,-1.22001,-1.07414,1.39924,0.29321,0.10635,-0.04407,0.35654,1
-1.15594,-0.99903,1.30451,0.15128,0.85030,-0.60566,1.37673,0.34528,0
0.48125,0.54873,-0.79701,-1.86572,-1.07480,1.63052,1.30068,-0.34692,1
-0.30168,1.03661,-0.16841,-1.29926,1.26554,0.47718,-2.51634,-0.31319,0
0.14367,0.48125,0.15215,-0.63574,-0.11576,0.29480,-0.26800,-0.37190,0
1.25208,-0.94661,-0.34946,-2.03127,0.54097,0.82826,0.54849,0.91767,1
0.44071,0.34252,0.47395,-0.26731,1.18833,-0.34857,-1.46235,0.84978,1
1.85070,-0.96015,-0.10163,-0.68544,-0.38058,0.04609,-1.24181,-0.27765,1
-1.46597,-0.56823,-1.18607,-1.05906,-1.71991,1.21935,0.50906,-1.91746,0
-0.59683,-0.67044,-0.69094,-1.44688,0.75439,-0.39586,0.46815,0.52676,0
1.37545,-1.81487,1.73860,1.26882,0.57307,2.38359,0.20498,0.82148,1
-0.73841,1.13436,0.16783,-0.45120,2.11694,-0.30480,0.00886,-0.19728,0
-0.75567,0.53127,0.73841,0.35437,-2.36058,1.00800,-0.35024,-1.21632,0
0.60328,0.56285,-1.04307,2.47244,-1.20963,-1.73300,-1.15417,1.42080,1
-0.17586,-0.37206,-0.06216,-0.59661,-0.69026,-0.64122,0.70796,1.02046,0
-1.05509,0.23923,0.78821,-1.08175,-0.50257,-1.03806,-1.29103,0.10186,0
-0.73613,0.63113,-0.02942,0.41263,-0.29228,-0.63500,-0.09067,-0.00500,0
-0.70586,0.42660,0.74659,0.15808,1.71349,-0.63234,0.52060,-0.40873,0
0.23463,-0.82995,1.11512,0.17602,1.19224,-1.26610,-0.49352,-0.89257,1
-0.53194,-0.69261,-0.12054,-0.01725,-0.04098,-0.55552,0.18743,0.87562,0
-0.90228,0.00089,-0.07407,0.46835,-0.06386,-0.01566,-0.99110,0.02170,0
-0.92188,0.51570,-0.10322,0.03986,-0.89119,0.80376,0.69231,0.86152,0
2.22739,-0.05252,1.20340,-0.12383,0.39409,0.36534,0.26459,0.65826,1
-0.30394,0.04093,0.53531,1.74785,-0.84236,-1.80613,-0.48409,0.08993,0
0.17498,0.09222,1.18279,0.97605,-0.04927,-0.46955,-0.34601,-0.35630,1
-0.22560,-1.57265,-0.46104,-0.42488,-0.18888,-0.25430,0.67201,-0.53194,1
-0.43858,0.54194,-0.23531,0.21645,0.66934,0.42197,0.25016,-0.19644,0
0.68189,0.17555,-0.50485,-0.15081,-1.21813,-0.96156,-1.88291,-0.67993,1
1.33555,-0.55649,0.78754,-0.00345,-0.70055,1.33828,0.58221,-1.75180,1
1.04140,-1.07479,-0.17791,0.66811,-0.29985,1.11894,0.76126,-1.57688,1
-0.47243,0.28207,-0.57500,-0.21628,0.79978,0.31678,-0.92062,0.17461,0
-0.61227,-1.21519,-1.13006,0.28696,-0.02811,0.00543,-1.14621,-0.18393,1
-1.03717,-0.92639,-0.16513,-1.38339,0.66927,2.48688,0.45882,-1.04290,0
-0.27119,-1.55544,-0.37762,0.50731,0.58938,-1.03174,0.29915,1.15641,1
1.75509,-0.70079,-0.86420,0.05442,-2.92809,-0.53103,-0.27097,-0.45934,1
-1.58387,-0.24555,-0.77661,0.75748,-0.91847,-0.28235,-0.23295,0.56757,0
-2.54590,-0.34062,0.75962,-0.36169,-1.52694,0.32660,0.33669,-0.27049,0
-1.15980,-0.74068,-0.31376,-0.87553,-1.92018,-0.76929,-0.06174,-0.50706,0
-0.07557,0.08366,0.89658,2.20382,0.73178,-1.40433,-2.65694,-0.09446,1
0.07139,-1.16187,0.27203,-0.76694,0.40267,-0.32552,0.39746,-1.74320,1
-0.43847,-0.14860,-1.42487,1.88234,-0.54077,1.38997,-0.66434,-0.22997,1
1.18390,0.30383,0.19205,0.26594,-1.36616,-0.38955,-0.95645,0.19741,1
-0.54400,-0.04406,-0.07729,-0.03637,-0.03475,-0.65238,-1.05400,-0.66436,0
1.07154,0.37416,0.58696,1.37997,-1.17943,0.50995,-1.07507,-0.33433,1
0.48424,1.61435,-0.78216,-0.09480,1.15624,-1.48981,0.36211,-0.30828,0
-0.88169,0.14663,0.59493,-0.91210,0.37999,0.17337,-1.24181,1.55341,0
1.08990,-0.85993,-0.58663,0.77078,-0.49545,-1.83972,1.04888,0.00878,1
1.90703,0.35747,0.19099,2.87450,-0.17187,-0.95182,0.22920,1.13575,1
-1.16512,-0.90827,0.44978,-3.19735,-1.09268,0.79548,-0.58674,-1.62648,0
1.92557,-1.41054,-0.52337,-0.37273,0.08314,-0.36951,-0.08097,0.05749,1
-0.08668,0.09327,-2.37893,0.44106,-1.40446,-2.16665,1.38135,-1.28552,1
0.17987,-0.77256,-0.67847,0.48365,-1.04822,0.37267,0.38069,1.16445,1
-0.33621,1.04658,1.72069,1.58668,0.58608,0.44917,2.84945,2.23218,1
-0.76662,0.92361,0.60196,0.07227,0.15331,0.48779,0.93736,0.21877,0
0.33979,1.39214,0.31772,0.54502,0.99023,1.63326,1.22704,0.37721,0
0.20782,-1.22360,0.29206,-1.03717,-1.02404,0.65051,-0.10058,0.47221,1
-0.62696,1.20120,0.14377,1.18773,0.67344,0.16525,-0.47853,0.03151,0
0.82801,0.69766,-1.19558,1.02568,-0.21391,0.81526,-0.69749,0.63786,1
-0.79659,0.12936,-0.29803,-0.28557,-0.56659,-0.15358,-1.74063,0.87660,0
0.96169,-0.44277,-1.37975,-0.64671,0.94761,0.62552,-0.30035,0.89727,1
-1.04148,-0.61264,0.47461,-0.09591,-0.58923,-2.51213,0.67122,0.32372,0
-1.74292,0.60033,-0.01436,0.27883,0.94519,-0.73989,0.71356,0.68385,0
0.76152,1.63596,0.65873,-0.56156,1.79838,-1.10731,-0.46272,-0.96447,0
-0.10276,1.08222,1.29779,0.46352,-0.60939,-0.55362,-0.60320,0.95284,0
-0.90654,0.86453,-0.03259,0.17205,1.51172,-0.47533,1.66173,-1.40945,0
-0.82476,-1.57839,-0.74678,0.58288,0.73773,0.30678,0.26709,-1.17333,1
-1.32683,0.30389,1.34781,-0.36413,-1.26856,-1.53328,-0.68065,1.57954,0
-0.20774,-1.03794,-0.60947,-0.48354,0.26561,-0.66002,-0.88994,-0.18802,1
0.46867,0.71704,0.55053,-0.45750,-1.69508,-0.79852,0.28408,-1.33364,0
0.25262,-0.58998,-0.58216,1.11951,0.21873,1.37026,-0.93925,1.13074,1
0.90908,-2.99500,-0.08827,1.54222,0.77806,-0.44132,-0.23279,-1.30305,1
0.20629,-1.79317,-1.01531,1.11916,-0.02057,-0.36343,-0.10591,2.74189,1
1.03519,-0.77564,1.66675,-0.08879,0.73972,-0.58663,-0.93786,0.80191,1
-0.76889,-0.78132,0.89783,-1.16207,-1.41925,0.54505,-1.95988,-0.75173,0
-0.36565,-1.34531,-1.11739,0.66587,0.29245,-0.94571,0.52949,1.51928,1
-1.28242,0.06126,1.97665,0.61116,0.81339,-0.20015,-0.79796,1.14337,1
0.65372,-0.05152,-0.46534,-1.74773,0.15591,-0.69171,-0.13185,0.67098,1
0.82000,0.71900,2.25506,1.16512,-0.74608,-0.81830,2.32815,-0.66333,1
-0.04414,1.74486,1.71532,-0.05463,0.24194,-1.63511,-0.90835,-0.36526,1
-0.00566,-0.32332,0.15229,2.19270,0.46434,0.30871,0.00183,-0.17191,0
1.23294,-0.99126,-0.12558,-1.09578,0.08713,0.11905,0.92051,1.19766,1
0.66306,1.62226,1.58850,0.31536,0.37335,-1.93628,0.32024,-0.00509,1
-1.68850,-0.43139,0.95742,-1.23877,1.29295,0.47480,-0.22839,-0.14233,0
0.82993,-1.43139,2.04076,-0.81342,-0.76528,1.22077,0.79005,1.32539,1
1.04598,0.37640,-1.27638,-0.47284,0.19844,-0.01718,-2.05278,1.04441,1
1.73114,1.46410,-1.01786,0.43597,-2.12650,1.69002,-1.93988,0.41051,1
1.16258,1.29132,0.34397,-1.42565,-0.10118,-0.26832,0.36836,0.98775,1
0.66204,2.12162,0.66105,-0.38882,1.62998,-0.31453,0.28186,0.18078,0
-2.29323,0.27682,0.28944,-0.20971,-0.14129,-1.28440,0.08246,1.50293,0
-0.17727,-0.52213,-0.60773,2.01709,-1.35524,0.84495,0.11141,1.92090,1
1.31127,-0.08832,-1.54147,1.42964,1.45804,-1.10490,0.74523,-0.80077,1
-0.77619,-1.60931,0.93291,0.27113,0.49450,1.45247,0.66862,0.58456,1
0.74927,-1.06457,-0.03447,-1.20626,-0.89991,-0.09182,1.06189,2.05821,1
-1.08519,0.17333,-0.07091,0.52724,0.58241,0.36242,-0.96718,0.39468,0
0.89233,-0.51339,1.97816,-0.23491,-0.63386,0.29638,-0.25759,-1.36717,1
-0.02616,1.59570,2.00253,-0.56704,0.90527,0.13253,0.28389,1.26737,1
0.85207,0.15432,-0.92874,-1.12398,-0.06402,0.32361,0.50317,0.78197,1
0.97959,-2.40308,0.90344,-1.04745,1.11407,0.33664,0.63056,-0.54093,1
0.28265,-1.86721,1.09525,-0.33084,-2.58908,1.06148,1.67677,-0.87613,1
1.21271,-0.74976,-2.26652,-0.35789,0.32614,0.13355,0.10360,0.29642,1
0.21656,-0.21604,-0.60138,-0.26580,-0.35167,-0.30292,-1.10295,-0.54259,0
0.08223,0.30942,-0.06403,-0.18366,0.53445,0.81447,0.68008,-1.74991,0
-0.45541,0.70565,0.51540,0.67981,0.31435,-0.85354,1.22256,-1.35959,0
0.98576,-0.01638,-1.47265,-0.39616,1.20375,-0.58840,-1.21060,-0.28879,1
-0.81807,-1.25060,0.43754,0.79817,-0.55173,0.52362,-0.38703,-0.09971,0
0.12340,1.49328,0.50756,-0.99911,0.51583,-0.22119,-0.46636,-0.83976,0
-0.02626,-0.06013,-0.40218,-1.39115,-1.70717,0.12798,0.17820,2.18313,0
-0.17866,1.02142,1.19520,-0.06107,0.07680,-0.42984,1.77516,-1.50843,0
-0.03965,1.38412,-0.10768,-0.57094,0.23288,0.52699,0.56744,0.28164,0
0.75009,0.94570,-1.10688,-0.37889,0.86969,0.48862,0.23460,0.67248,1
0.95215,-0.85805,-1.22694,-1.15368,1.85867,-1.05443,-0.23459,-0.18548,1
1.03106,-1.73832,-0.03927,1.21439,1.11490,0.40931,-0.26094,1.75768,1
-1.67195,0.98099,0.50818,0.59104,0.26581,0.20518,0.93079,-1.15304,0
-1.24655,0.16245,0.05215,0.16366,1.59043,-0.57931,0.75132,0.38445,0
2.36656,-1.40219,-0.54601,-0.45679,1.32060,-0.81992,1.65794,1.59811,1
0.86561,0.43738,-1.55618,0.18215,-1.43067,-0.36263,0.20310,-0.30887,1
0.95081,-0.12918,-1.54858,-1.06006,-1.27391,-0.31643,1.24758,0.50575,1
0.33951,-1.28538,2.36916,-0.02826,2.41691,-0.86742,-0.56785,2.59966,1
-1.07499,0.41871,-0.33821,-0.81341,2.16108,-1.00413,0.89744,1.10431,0
-1.01180,-1.89723,-1.78064,-0.79958,0.22266,0.33544,-0.18905,-0.10531,1
0.97405,0.76815,0.37875,-0.61697,0.77757,0.18121,-0.74784,-0.57690,1
1.22865,1.84538,-0.52973,-2.07807,0.58746,-0.90326,0.73250,-0.37596,1
2.22960,0.11224,0.90285,-1.21505,-2.81929,0.13533,0.26196,0.72030,1
-0.55381,-1.29184,-1.60050,0.55314,0.71029,-0.87576,-0.52803,-0.72819,1
-1.89521,0.19912,0.84602,-0.22335,-1.42247,-0.19832,1.36442,2.12991,0
0.26910,-0.78894,-1.98558,-1.54594,-0.08889,0.22577,0.25664,-0.26298,1
-1.54322,-1.57646,0.14732,-0.82457,1.30484,-1.45891,1.68710,-0.66650,0
0.22319,0.22316,-0.34401,-2.01348,-0.48240,1.52246,-1.28079,-1.84211,0
-0.21887,-0.41239,-1.29284,-0.75257,-0.48108,-0.41287,0.16277,0.70666,1
0.38707,0.34175,1.68014,1.09530,-2.91284,-0.36316,-1.57655,-0.68914,1
0.77107,-0.20119,-0.42839,1.31697,-1.50378,-0.09381,0.54876,0.02413,1
-1.16328,-0.02257,0.80751,0.35725,0.31769,0.30745,0.13519,-1.24126,0
-0.30910,0.43084,-3.11451,0.75718,0.33742,-1.08418,-0.74635,-0.20384,1
0.41343,-0.37403,1.16700,0.41313,-0.78657,-0.47118,0.22758,0.72837,1
0.68002,-0.09759,0.14950,-0.02510,0.82199,-0.98624,0.60284,-1.85240,1
0.45103,0.25621,-0.00037,-2.13261,1.56672,0.89841,0.02545,0.45871,0
-0.93938,0.51227,1.56009,-1.17809,2.69276,-0.43693,0.82741,-0.82611,1
0.39041,-1.27394,-0.65899,-0.22858,-0.65582,-0.24143,0.97595,-1.27709,1
-1.19575,0.04706,-0.56419,-1.00375,0.13203,-0.56437,0.33614,-0.03976,0
-0.20121,-0.06824,1.02324,1.31410,-0.15960,-1.02997,-1.51129,-2.23358,1
-1.17596,-0.85232,-0.05254,-1.88054,1.42969,1.06356,1.24517,-0.51289,0
0.24400,-0.94736,1.54981,-1.21303,-0.51363,1.42342,2.48981,-0.09173,1
-0.41423,-2.50713,1.71045,0.30818,-1.88394,0.87136,0.61388,-0.35440,1
-0.55784,0.73013,0.23395,0.48683,1.22649,1.19319,0.76051,0.58528,0
-1.27818,-1.11546,0.81852,0.64720,0.51818,0.84035,-0.55400,0.56492,0
-0.98888,0.06238,0.92933,-0.67686,1.95291,1.13408,1.37211,-0.21116,0
-1.38895,-0.69859,0.55167,-0.27900,0.72137,0.15045,-0.58975,0.93422,0
1.35174,-0.73215,0.51191,0.15659,0.28088,-0.10411,-1.25268,1.40952,1
-1.04359,-0.87063,0.65627,0.17987,-0.79604,-0.65755,-0.15870,-0.43608,0
0.64653,-1.16422,0.36332,1.53053,0.20136,-0.88829,-0.72304,0.04366,1
-0.62421,1.23460,-1.84038,1.63896,-2.02499,-0.04101,-1.08297,0.82018,1
-0.77403,-1.13307,-0.34002,-0.41101,-1.93503,0.45452,-2.39263,1.17634,0
-0.33006,0.95301,-0.60056,-0.79311,0.65175,-0.58414,-1.54761,-0.08708,0
-1.37707,-0.01291,1.37894,0.96267,0.00185,-0.16572,-0.31679,-0.63755,0
0.35507,-0.15789,-0.38170,0.27005,-2.01838,1.95648,0.63013,-1.39376,1
0.11505,-1.12909,-0.53927,-0.89511,1.09186,-1.92073,-0.35439,-1.64906,1
-0.02045,-0.31771,-1.40672,1.43973,1.56344,-0.56418,0.52193,-0.14881,1
0.24344,1.53213,-0.26864,1.79217,-0.28819,-0.09355,1.88932,0.27522,0
-2.03194,0.22480,-1.28185,-1.66260,-0.94264,0.32608,-1.11337,-1.40126,0
-0.37976,0.40461,-0.69638,-1.30644,-2.17269,-0.77620,0.84431,1.00209,0
0.78981,-0.17529,0.12935,1.26770,-0.86868,0.36408,-1.87090,0.68230,1
-0.45104,-1.15563,0.77283,-1.11123,-0.86728,1.53682,-1.04603,-0.65601,0
-0.68325,0.78480,-1.83591,1.25040,-0.24335,-0.31687,-0.89668,-0.14545,1
1.47039,0.21285,-0.93254,-0.34736,0.53445,0.08533,-0.25731,0.60457,1
0.36109,-1.07772,-1.91492,0.50049,1.85744,-0.82073,-0.14101,1.35408,1
1.73963,0.06524,1.24973,0.75063,-0.55582,-2.01881,-0.90943,0.36923,1
0.41925,-0.50224,-0.85770,-1.60031,-1.68033,-0.12212,-1.57473,-0.01511,1
-0.79798,-0.42616,2.12537,0.04826,-0.34355,-0.17334,-1.47366,1.33915,1
0.84782,-0.53200,0.22929,-0.67158,0.39628,-1.34297,0.26747,1.50127,1
0.44628,-0.59009,0.94977,1.95054,0.73093,0.09723,-0.80222,0.43564,1
1.92227,-2.01688,0.97729,0.14779,1.51336,-0.12794,-2.16372,1.99144,1
-1.15938,0.80032,-0.12757,-0.03959,0.13762,-0.54587,0.18658,0.30768,0
0.80160,0.12502,0.31869,1.32818,-0.90202,0.07014,0.47831,1.03544,1
-0.06358,0.09935,-0.34495,1.24026,-0.32117,0.68529,-0.10188,0.03084,0
-1.22306,0.05671,-0.02965,-1.48360,-0.74044,-0.45385,-1.52870,-1.21716,0
1.46956,-1.02998,-0.85668,-1.39576,1.22738,0.91821,0.31822,0.08424,1
-0.49187,-0.28441,-0.67415,0.65827,0.69219,0.91263,2.04890,0.70717,0
0.63453,1.00370,-1.54201,0.00473,-1.51250,1.57725,-0.49301,1.77312,1
1.06152,-0.55224,-1.65977,-1.12402,1.03872,-0.32130,-1.48129,-0.22471,1
1.69271,1.60924,-0.47309,0.30812,0.61275,-1.47917,-0.53292,-0.40541,1
0.40405,-0.51030,-1.39739,0.32421,-0.64201,-1.22790,-1.22540,-0.22298,1
1.45106,-0.17455,1.07313,-2.24613,-0.83866,-1.25799,-0.27456,0.77019,1
-0.54647,-1.24449,0.94774,-0.76213,0.27256,-0.66500,0.51713,-0.38355,1
0.79516,0.62100,2.22127,-0.08017,-0.97533,-1.16112,-0.59732,0.37531,1
-0.71383,1.51897,0.20032,-0.97702,-0.46295,-0.63838,0.17827,-1.02537,0
1.28196,-0.35631,-0.23728,0.92315,-0.74847,-0.00137,1.79221,0.41114,1
0.29382,-0.47640,-0.99424,1.74881,-0.16011,1.89799,-0.68389,1.25495,1
-0.20532,0.41678,1.21671,0.44153,0.80258,-1.56293,-0.46070,2.04469,1
-0.22914,0.31863,-0.16309,-0.62158,-1.49406,-1.14174,1.68257,-0.07906,0
-1.18881,-0.90407,0.87343,-0.94715,-0.62535,-1.11663,-1.25913,1.64906,1
-0.14089,-0.32151,-0.60145,0.71245,0.06147,0.29234,0.13687,-0.35732,0
-0.48089,-1.73490,-0.49178,2.16356,-1.23944,0.00437,0.33573,1.19403,1
2.65828,-0.39680,-0.87710,1.06017,0.21301,2.00638,0.72534,-0.66880,1
-0.19664,0.42304,0.50069,-1.13412,-1.92421,-1.60378,0.61716,-0.15324,0
-1.83484,-0.55084,-1.93702,-0.26318,-0.86536,-0.55797,-0.08435,0.18263,1
0.05956,1.29168,2.40103,0.85196,-0.18963,0.75197,-0.72727,-0.82584,1
-0.87124,0.29236,1.23851,2.22414,1.32427,0.69769,-0.68833,0.07665,0
0.54346,-0.12225,1.86286,-0.81995,-0.71414,0.38004,2.00680,-1.81274,1
-0.84604,1.28790,-0.67895,2.05909,-0.82152,1.07233,-0.08818,0.45956,0
-1.03589,-1.60621,0.77555,-0.52931,-0.91869,-1.10529,-1.04504,1.35323,0
-0.92264,-0.54247,1.96668,-0.43232,-0.00566,0.36765,-0.29600,-0.68813,1
1.27888,0.31983,-0.62949,-1.38530,-1.15767,-1.02455,-2.15598,1.17394,1
0.10210,0.53665,-1.41887,-0.48511,-0.24010,0.07559,-0.20629,-1.24492,1
1.09185,0.71028,0.07486,1.03223,1.20810,1.39391,0.16303,-0.31480,1
-0.47981,0.89123,-0.70146,-0.91353,0.55440,0.52300,0.63655,-0.84922,0
0.30074,0.91530,-0.47983,-0.26814,-0.29795,1.51922,0.90081,-1.34057,0
-1.52075,0.65011,-0.21310,0.53257,0.26570,1.00960,-1.62572,-0.54786,0
0.25099,0.23447,-0.94814,-0.52716,-0.58584,0.04468,0.70056,-0.27547,1
-0.15305,-2.09418,-1.06110,1.85298,-1.71471,1.36439,-0.29789,-1.96320,1
1.45768,1.28407,-0.50325,0.86728,-0.35589,0.05093,0.16627,-0.23101,1
0.52437,0.38575,-0.52288,0.29599,-0.52059,0.13382,-0.49687,0.09729,1
1.60065,-0.65389,-1.46313,1.59415,0.29244,-0.65061,-0.24965,-0.91375,1
0.93784,0.71334,0.62857,0.22020,-2.05004,-1.18698,0.28440,-2.65495,1
-0.07926,-1.02531,0.63329,-0.19660,1.05892,0.33765,0.11375,-0.97334,1
0.62771,2.37928,-1.71044,-1.02373,1.66409,0.51179,-0.29593,0.78198,1
0.33249,-0.65262,-0.66829,0.85528,0.34330,1.07768,0.65378,-0.61400,1
1.52412,-0.92316,-0.45330,-0.78278,-1.40118,0.62259,-1.05285,-0.68422,1
0.94277,0.86521,-0.62142,-1.30804,-0.10425,-1.59787,-1.01042,-0.38778,1
